,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
299,Erick Strickland,27,VAN,PG,22,0,18.6,1.9,6.2,.301,0.6,2.2,.292,1.2,4.0,.307,.353,2.0,2.3,.863,0.4,3.0,3.5,3.0,1.0,0.0,1.2,1.9,6.4
300,Michael Curry,32,DET,SG,68,58,21.8,2.1,4.7,.455,0.1,0.1,.444,2.1,4.6,.455,.461,0.9,1.1,.849,0.3,1.5,1.8,1.9,0.4,0.0,0.9,2.5,5.2
301,Robert Horry,30,LAL,PF,79,1,20.1,1.9,4.8,.387,0.7,2.0,.346,1.2,2.8,.415,.458,0.7,1.1,.711,1.2,2.6,3.7,1.6,0.7,0.7,1.0,2.7,5.2
302,Jon Barry,31,SAC,SG,62,2,16.3,1.7,4.1,.404,0.7,2.1,.348,0.9,2.0,.463,.494,1.0,1.2,.877,0.3,1.3,1.5,2.1,0.5,0.1,0.9,1.1,5.1
303,DerMarr Johnson,20,ATL,SF,78,21,16.8,1.9,5.0,.374,0.5,1.6,.323,1.3,3.4,.399,.427,0.8,1.1,.736,0.7,1.6,2.3,0.8,0.6,0.4,1.2,1.7,5.1
304,Tracy Murray,29,2TM,SF,51,1,11.5,1.8,4.9,.379,0.7,2.0,.350,1.1,2.8,.400,.452,0.6,0.8,.786,0.4,1.2,1.6,0.5,0.2,0.1,0.5,1.0,5.0
305,Tracy Murray,29,DEN,SF,13,0,10.4,1.3,4.2,.309,0.5,1.8,.304,0.8,2.5,.313,.373,0.7,0.8,.900,0.3,1.4,1.7,0.7,0.3,0.1,0.5,0.6,3.8
306,Tracy Murray,29,TOR,SF,38,1,11.9,2.0,5.1,.399,0.8,2.1,.363,1.3,3.0,.425,.474,0.6,0.8,.750,0.5,1.1,1.6,0.4,0.2,0.2,0.5,1.2,5.4
307,Eddie House,22,MIA,PG,50,0,11.0,2.1,4.9,.421,0.4,1.1,.345,1.7,3.8,.443,.460,0.5,0.7,.686,0.1,0.7,0.8,1.0,0.3,0.0,0.7,1.2,5.0
308,Dan Majerle,35,MIA,SG,53,19,24.6,1.6,4.9,.336,1.1,3.4,.315,0.6,1.5,.385,.446,0.7,0.8,.818,0.4,2.8,3.1,1.7,1.0,0.3,0.7,1.8,5.0
309,Mike Penberthy,26,LAL,PG,53,0,16.1,1.7,4.2,.414,1.0,2.6,.396,0.7,1.6,.446,.538,0.5,0.6,.903,0.2,1.0,1.2,1.3,0.4,0.0,0.6,1.1,5.0
310,Monty Williams,29,ORL,SF,82,0,14.8,2.0,4.4,.445,0.0,0.2,.077,2.0,4.3,.459,.446,1.0,1.6,.639,1.0,1.9,3.0,1.0,0.4,0.2,1.0,1.7,5.0
311,Greg Anthony,33,POR,PG,58,0,14.8,1.7,4.4,.383,1.1,2.7,.409,0.6,1.6,.340,.512,0.4,0.6,.657,0.4,0.7,1.1,1.4,0.7,0.1,0.7,1.1,4.9
312,Bimbo Coles,32,CLE,PG,47,0,17.1,1.9,5.1,.381,0.0,0.3,.125,1.9,4.7,.399,.385,1.0,1.2,.857,0.2,0.8,1.0,2.9,0.6,0.1,1.3,1.9,4.9
313,Lawrence Funderburke,30,SAC,PF,59,2,11.8,2.0,4.1,.496,0.0,0.0,,2.0,4.1,.496,.496,0.8,1.3,.623,1.3,2.1,3.3,0.3,0.2,0.2,0.5,0.7,4.9
314,Eddie Gill,22,NJN,PG,8,0,19.0,2.0,5.1,.390,0.4,1.1,.333,1.6,4.0,.406,.427,0.5,0.6,.800,0.0,1.1,1.1,3.0,0.5,0.1,1.3,1.1,4.9
315,Stromile Swift,21,VAN,PF,80,6,16.4,1.9,4.2,.451,0.0,0.1,.000,1.9,4.2,.457,.451,1.1,1.8,.603,1.4,2.2,3.6,0.4,0.8,1.0,0.8,2.0,4.9
316,Paul McPherson,22,2TM,PG,55,0,10.8,2.0,3.9,.505,0.0,0.2,.167,1.9,3.7,.525,.509,0.8,1.1,.724,0.7,0.7,1.4,0.7,0.5,0.1,0.9,1.5,4.8
317,Paul McPherson,22,PHO,PG,33,0,9.3,1.4,2.9,.490,0.0,0.2,.000,1.4,2.7,.522,.490,0.5,0.7,.750,0.6,0.8,1.5,0.5,0.4,0.1,0.7,1.5,3.4
318,Paul McPherson,22,GSW,PG,22,0,13.0,2.8,5.5,.517,0.1,0.3,.333,2.7,5.2,.526,.525,1.1,1.5,.706,0.9,0.5,1.4,1.0,0.6,0.0,1.1,1.5,6.8
319,Chris Carr,26,BOS,SG,35,0,8.8,1.5,3.2,.473,0.5,1.1,.459,1.0,2.1,.480,.549,1.3,1.7,.767,0.3,0.9,1.3,0.3,0.1,0.1,0.5,1.3,4.8
320,Troy Hudson,24,ORL,PG,75,7,13.4,1.7,5.0,.336,0.3,1.5,.202,1.4,3.5,.392,.366,1.1,1.4,.817,0.5,0.9,1.4,2.2,0.5,0.0,1.2,1.1,4.8
321,Gerard King,28,WAS,SF,45,3,15.7,2.0,3.9,.511,0.0,0.0,,2.0,3.9,.511,.511,0.8,1.0,.800,0.9,2.0,2.9,0.7,0.3,0.2,1.0,2.1,4.8
322,Wang Zhizhi,23,DAL,C,5,0,7.6,1.6,3.8,.421,0.0,0.4,.000,1.6,3.4,.471,.421,1.6,2.0,.800,0.2,1.2,1.4,0.0,0.0,0.0,0.2,1.6,4.8
323,Vernon Maxwell,35,2TM,PG,43,6,15.3,1.7,5.2,.327,0.8,2.6,.306,0.9,2.6,.348,.404,0.5,0.7,.656,0.1,1.4,1.5,1.1,0.5,0.1,0.8,1.5,4.7
324,Vernon Maxwell,35,PHI,PG,24,6,15.6,1.8,5.2,.336,0.9,2.7,.328,0.9,2.5,.344,.420,0.6,0.9,.682,0.1,1.4,1.5,1.2,0.5,0.0,0.8,1.4,5.0
325,Vernon Maxwell,35,DAL,PG,19,0,15.0,1.6,5.2,.316,0.7,2.5,.277,0.9,2.7,.353,.383,0.3,0.5,.600,0.1,1.5,1.5,1.1,0.5,0.2,0.9,1.6,4.3
326,Chris Childs,33,2TM,PG,77,5,24.1,1.8,4.4,.403,0.4,1.4,.302,1.3,3.0,.450,.451,0.8,0.9,.845,0.3,2.3,2.6,4.6,0.8,0.2,2.0,3.1,4.7
327,Chris Childs,33,NYK,PG,51,5,25.7,1.8,4.4,.419,0.4,1.3,.313,1.4,3.1,.462,.464,0.8,0.9,.848,0.3,2.4,2.7,4.6,0.7,0.1,1.9,3.1,4.8
328,Chris Childs,33,TOR,PG,26,0,21.2,1.6,4.3,.372,0.5,1.6,.286,1.2,2.7,.423,.425,0.8,1.0,.840,0.4,2.1,2.5,4.6,0.8,0.3,2.2,3.2,4.5
329,Stacey Augmon,32,POR,SG,66,23,17.9,1.9,4.0,.477,0.0,0.1,.000,1.9,4.0,.485,.477,0.9,1.3,.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7
330,Corey Benjamin,22,CHI,PG,65,5,13.2,1.8,4.6,.381,0.3,1.2,.259,1.4,3.4,.425,.416,0.9,1.3,.675,0.6,1.0,1.5,1.1,0.4,0.2,1.0,2.0,4.7
331,Kelvin Cato,26,HOU,C,35,13,17.8,1.8,3.2,.577,0.0,0.0,,1.8,3.2,.577,.577,1.1,1.6,.649,1.3,2.7,4.0,0.3,0.4,0.9,0.7,2.5,4.7
332,Jumaine Jones,21,PHI,SF,65,0,13.3,1.9,4.2,.444,0.3,0.9,.333,1.6,3.3,.474,.480,0.6,0.8,.755,1.0,1.9,2.9,0.5,0.5,0.2,0.6,1.0,4.7
333,Corie Blount,32,2TM,PF,68,6,19.2,1.9,4.3,.442,0.0,0.1,.250,1.9,4.2,.448,.446,0.8,1.2,.614,2.7,3.2,5.9,0.9,0.6,0.3,1.1,2.4,4.6
334,Corie Blount,32,PHO,PF,30,6,12.9,0.8,1.6,.489,0.0,0.0,,0.8,1.6,.489,.489,0.3,0.5,.533,1.2,1.7,2.8,0.3,0.4,0.2,0.6,2.5,1.8
335,Corie Blount,32,GSW,PF,38,0,24.2,2.8,6.5,.433,0.1,0.2,.250,2.8,6.3,.439,.437,1.1,1.8,.632,3.8,4.4,8.3,1.3,0.8,0.4,1.4,2.4,6.8
336,Mark Strickland,30,2TM,SF,55,2,13.1,1.9,4.3,.431,0.0,0.0,.500,1.9,4.3,.430,.433,0.8,1.3,.643,1.0,1.9,2.9,0.4,0.3,0.4,0.6,1.3,4.6
337,Mark Strickland,30,DEN,SF,46,2,11.2,1.8,4.0,.443,0.0,0.0,.000,1.8,4.0,.446,.443,0.8,1.3,.627,0.9,1.7,2.6,0.4,0.3,0.4,0.5,1.3,4.4
338,Mark Strickland,30,NJN,SF,9,0,22.4,2.3,6.0,.389,0.1,0.1,1.000,2.2,5.9,.377,.398,0.9,1.2,.727,1.2,3.3,4.6,0.8,0.4,0.3,1.1,1.6,5.7
339,Cherokee Parks,28,2TM,C,65,31,16.2,2.1,4.2,.489,0.0,0.1,.000,2.1,4.1,.500,.489,0.5,0.7,.705,1.1,2.4,3.5,0.7,0.4,0.6,0.6,1.9,4.6
340,Cherokee Parks,28,WAS,C,13,0,13.7,1.4,2.9,.474,0.0,0.0,,1.4,2.9,.474,.474,0.9,1.3,.706,1.0,2.1,3.1,0.5,0.5,0.8,0.8,1.5,3.7
341,Cherokee Parks,28,LAC,C,52,31,16.8,2.2,4.5,.492,0.0,0.1,.000,2.2,4.4,.504,.492,0.4,0.5,.704,1.1,2.5,3.6,0.8,0.4,0.5,0.6,2.0,4.8
342,Jamal Crawford,20,CHI,PG,61,8,17.2,1.8,5.0,.352,0.7,1.9,.350,1.1,3.1,.353,.419,0.4,0.6,.794,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6
343,Ricky Davis,21,MIA,SG,7,0,10.0,1.7,4.1,.414,0.1,0.1,1.000,1.6,4.0,.393,.431,1.0,1.1,.875,0.1,0.9,1.0,1.6,0.7,0.3,0.7,1.0,4.6
344,Jamaal Magloire,22,CHH,C,74,0,14.8,1.6,3.7,.450,0.0,0.0,.000,1.6,3.6,.454,.450,1.3,2.0,.655,1.4,2.6,4.0,0.4,0.2,1.1,0.8,1.9,4.6
345,Stanislav Medvedenko,21,LAL,PF,7,0,5.6,1.7,3.6,.480,0.1,0.1,1.000,1.6,3.4,.458,.500,1.0,1.7,.583,0.1,1.1,1.3,0.3,0.1,0.1,0.4,1.3,4.6
346,Carlos Rogers,29,HOU,C,39,0,13.9,1.9,2.8,.682,0.0,0.0,.000,1.9,2.8,.688,.682,0.7,1.3,.558,1.2,2.3,3.6,0.2,0.3,0.5,0.4,0.8,4.6
347,Reggie Slater,30,MIN,PF,55,16,12.5,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,1.3,2.0,.673,1.4,2.0,3.4,0.5,0.3,0.2,0.8,2.3,4.6
348,A.C. Green,37,MIA,PF,82,1,17.2,1.8,4.0,.444,0.0,0.1,.000,1.8,3.9,.453,.444,1.0,1.4,.712,1.3,2.5,3.8,0.5,0.4,0.1,0.5,1.5,4.5
349,Tony Massenburg,33,VAN,PF,52,20,15.8,1.8,3.8,.462,0.0,0.0,,1.8,3.8,.462,.462,0.9,1.3,.700,1.4,2.6,4.0,0.2,0.2,0.5,0.9,2.3,4.5
350,Jelani McCoy,23,SEA,C,70,44,16.3,2.0,3.8,.523,0.0,0.0,,2.0,3.8,.523,.523,0.6,1.3,.441,1.3,2.3,3.6,0.8,0.3,0.7,1.1,2.0,4.5
351,Rasho NesteroviÄ,24,MIN,C,73,39,16.9,2.0,4.4,.461,0.0,0.0,.000,2.0,4.4,.462,.461,0.5,0.9,.523,1.4,2.6,3.9,0.6,0.3,0.9,0.8,2.6,4.5
352,Greg Ostertag,27,UTA,C,81,3,18.4,1.7,3.5,.495,0.0,0.0,.500,1.7,3.4,.495,.496,1.0,1.9,.556,2.0,3.1,5.1,0.3,0.3,1.8,0.8,2.7,4.5
353,Jake Tsakalidis,21,PHO,C,57,39,16.6,1.8,3.8,.470,0.0,0.0,,1.8,3.8,.470,.470,0.9,1.6,.593,1.5,2.8,4.2,0.3,0.2,1.0,1.2,2.4,4.5
354,Tyus Edney,27,IND,PG,24,0,11.0,1.5,3.8,.385,0.0,0.3,.167,1.4,3.5,.400,.390,1.5,1.6,.897,0.2,0.8,1.0,2.3,0.7,0.0,1.0,0.7,4.4
355,Mario Elie,37,PHO,SG,68,67,22.1,1.5,3.6,.423,0.5,1.5,.360,1.0,2.1,.466,.496,0.8,1.0,.797,0.6,1.7,2.3,1.9,0.9,0.2,0.9,1.6,4.4
356,Mikki Moore,25,DET,C,81,2,14.2,1.6,3.3,.493,0.0,0.0,.000,1.6,3.3,.494,.493,1.2,1.6,.731,1.5,2.4,3.9,0.4,0.3,0.8,0.9,2.5,4.4
357,Hanno MÃ¶ttÃ¶lÃ¤,24,ATL,SF,73,3,13.5,1.7,3.8,.444,0.0,0.0,.000,1.7,3.8,.449,.444,1.0,1.2,.811,0.7,1.7,2.4,0.3,0.2,0.1,0.9,2.2,4.4
358,Billy Owens,31,DET,PF,45,14,17.6,2.0,5.1,.383,0.1,0.4,.150,1.9,4.7,.405,.389,0.4,0.9,.475,1.9,2.7,4.6,1.2,0.7,0.3,0.9,2.1,4.4
359,Isaac Austin,31,VAN,C,52,16,16.3,1.8,5.2,.356,0.1,0.5,.250,1.7,4.7,.366,.367,0.5,0.8,.700,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3
360,Scott Burrell,30,CHH,SF,4,0,10.3,1.8,3.8,.467,0.5,1.5,.333,1.3,2.3,.556,.533,0.3,1.0,.250,0.3,0.5,0.8,0.3,0.8,0.0,0.0,2.0,4.3
361,Todd Day,31,MIN,SG,31,0,11.1,1.4,3.8,.373,0.8,2.2,.377,0.6,1.6,.367,.483,0.6,0.7,.783,0.3,0.9,1.2,0.9,0.3,0.2,0.8,1.7,4.3
362,Cedric Henderson,25,CLE,SF,55,10,17.5,1.9,4.8,.389,0.0,0.1,.125,1.8,4.6,.398,.391,0.5,0.8,.652,0.3,1.3,1.6,1.4,0.5,0.4,1.1,1.8,4.3
363,Laron Profit,23,WAS,PG,35,12,17.3,1.6,4.1,.394,0.2,0.7,.269,1.4,3.3,.422,.419,0.9,1.3,.733,0.5,1.3,1.8,2.5,1.0,0.3,1.3,1.2,4.3
364,Derek Strong,32,LAC,PF,28,8,17.5,1.6,4.2,.385,0.0,0.0,.000,1.6,4.1,.388,.385,1.0,1.3,.757,1.2,2.6,3.9,0.3,0.5,0.0,0.8,1.1,4.2
365,Randy Brown,32,BOS,PG,54,35,22.9,1.9,4.4,.422,0.0,0.1,.000,1.9,4.3,.427,.422,0.4,0.7,.575,0.4,1.4,1.8,2.9,1.1,0.2,1.0,2.4,4.1
366,Anthony Goldwire,29,DEN,PG,20,0,10.1,1.5,4.0,.375,0.5,1.7,.265,1.1,2.3,.457,.431,0.7,0.9,.765,0.1,0.6,0.6,1.7,0.5,0.0,0.8,0.7,4.1
367,Todd MacCulloch,25,PHI,C,63,3,9.5,1.7,2.9,.589,0.0,0.0,,1.7,2.9,.589,.589,0.7,1.0,.636,1.1,1.6,2.7,0.2,0.1,0.3,0.4,1.5,4.1
368,Brian Skinner,24,LAC,PF,39,23,15.0,1.6,4.1,.398,0.0,0.0,,1.6,4.1,.398,.398,0.8,1.5,.542,1.4,2.9,4.3,0.5,0.4,0.3,0.8,1.6,4.1
369,Detlef Schrempf,38,POR,SF,26,0,15.3,1.5,3.7,.411,0.1,0.3,.375,1.4,3.3,.414,.426,0.9,1.0,.852,0.7,2.3,3.0,1.7,0.3,0.1,1.1,1.7,4.0
370,Gary Trent,26,DAL,PF,33,4,9.7,1.7,3.9,.438,0.0,0.0,.000,1.7,3.9,.442,.438,0.6,1.1,.528,1.2,1.6,2.8,0.3,0.4,0.2,0.7,1.6,4.0
371,Vinny Del Negro,34,2TM,PG,65,1,14.2,1.6,3.6,.453,0.0,0.2,.077,1.6,3.4,.475,.455,0.6,0.7,.932,0.2,1.1,1.3,1.9,0.4,0.0,0.5,1.2,3.9
372,Vinny Del Negro,34,GSW,PG,29,1,13.7,1.0,3.1,.333,0.0,0.3,.111,1.0,2.8,.358,.339,0.6,0.6,1.000,0.1,0.9,1.1,2.1,0.2,0.0,0.5,1.2,2.7
373,Vinny Del Negro,34,PHO,PG,36,0,14.6,2.1,4.0,.528,0.0,0.1,.000,2.1,3.9,.543,.528,0.7,0.8,.893,0.2,1.2,1.4,1.8,0.6,0.1,0.5,1.2,4.9
374,Chucky Brown,32,2TM,SF,26,2,13.0,1.5,3.7,.421,0.0,0.1,.000,1.5,3.5,.435,.421,0.8,1.3,.647,0.3,1.8,2.1,0.4,0.3,0.3,0.3,1.4,3.9
375,Chucky Brown,32,GSW,SF,6,0,12.3,1.5,3.3,.450,0.0,0.3,.000,1.5,3.0,.500,.450,1.0,1.7,.600,0.5,2.5,3.0,0.8,0.5,0.2,0.3,1.7,4.0
376,Chucky Brown,32,CLE,SF,20,2,13.3,1.6,3.8,.413,0.0,0.1,.000,1.6,3.7,.419,.413,0.8,1.2,.667,0.3,1.6,1.8,0.3,0.3,0.3,0.3,1.4,3.9
377,Mark Blount,25,BOS,C,64,50,17.2,1.6,3.1,.505,0.0,0.0,,1.6,3.1,.505,.505,0.7,1.0,.697,1.5,2.1,3.6,0.5,0.6,1.2,1.0,2.9,3.9
378,Andrew DeClercq,27,ORL,C,67,51,13.5,1.6,2.9,.554,0.0,0.0,,1.6,2.9,.554,.554,0.7,1.2,.573,1.4,2.2,3.5,0.5,0.6,0.5,0.8,3.0,3.9
379,Don MacLean,31,MIA,SF,8,1,9.5,1.3,2.5,.500,0.3,0.3,1.000,1.0,2.3,.444,.550,1.1,1.5,.750,0.9,1.4,2.3,0.5,0.6,0.1,1.3,1.1,3.9
380,Lee Nailon,25,CHH,SF,42,0,11.2,1.6,3.2,.485,0.0,0.0,.000,1.6,3.2,.489,.485,0.8,1.0,.744,0.7,1.5,2.2,0.6,0.2,0.1,0.6,1.4,3.9
381,Bruno Å undov,20,IND,C,11,4,10.9,1.8,3.7,.488,0.0,0.4,.000,1.8,3.4,.541,.488,0.3,0.5,.600,0.4,1.7,2.1,0.2,0.2,0.4,0.3,1.9,3.9
382,Å½an Tabak,30,IND,C,55,14,14.1,1.8,3.4,.527,0.0,0.0,,1.8,3.4,.527,.527,0.4,0.9,.426,1.2,2.7,3.9,0.6,0.2,0.5,1.0,2.3,3.9
383,Tariq Abdul-Wahad,26,DEN,SG,29,12,14.5,1.5,3.8,.387,0.1,0.3,.400,1.3,3.5,.386,.405,0.7,1.2,.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8
384,Darvin Ham,27,MIL,SF,29,13,18.6,1.3,2.8,.488,0.1,0.1,.667,1.3,2.7,.481,.500,1.0,1.7,.592,1.9,2.2,4.2,0.9,0.6,0.7,1.1,2.9,3.8
385,Sam Perkins,39,IND,PF,64,41,15.6,1.3,3.5,.381,0.6,1.7,.345,0.8,1.8,.414,.465,0.5,0.6,.842,0.5,2.1,2.6,0.6,0.5,0.3,0.3,1.0,3.8
386,Michael Smith,28,WAS,PF,79,29,20.4,1.3,2.8,.486,0.0,0.0,.000,1.3,2.7,.488,.486,1.1,1.9,.578,2.2,4.9,7.1,1.3,0.7,0.5,0.8,2.0,3.8
387,Jamie Feick,26,NJN,C,6,0,24.8,1.3,3.8,.348,0.0,0.0,,1.3,3.8,.348,.348,1.0,2.0,.500,2.0,7.3,9.3,0.8,1.3,0.5,1.2,2.5,3.7
388,David Benoit,32,UTA,SF,49,2,9.1,1.4,3.0,.483,0.1,0.3,.385,1.3,2.7,.493,.500,0.6,0.8,.795,0.4,1.2,1.7,0.4,0.1,0.1,0.6,1.5,3.6
389,Popeye Jones,30,WAS,PF,45,1,14.2,1.3,3.4,.392,0.0,0.1,.167,1.3,3.3,.401,.395,0.9,1.2,.745,1.8,3.0,4.9,0.7,0.4,0.2,0.5,2.1,3.6
390,Kevin Edwards,35,VAN,SG,46,5,13.8,1.2,3.7,.329,0.1,0.4,.263,1.1,3.3,.338,.344,0.9,1.2,.811,0.5,1.3,1.8,1.1,0.6,0.2,0.8,1.0,3.5
391,Jeff Foster,24,IND,C,71,9,16.2,1.4,3.0,.469,0.0,0.1,.286,1.4,2.9,.476,.474,0.7,1.3,.516,2.0,3.5,5.5,0.5,0.5,0.4,0.7,2.1,3.5
392,Quincy Lewis,23,UTA,SF,35,2,11.5,1.4,3.5,.407,0.3,0.7,.360,1.2,2.8,.418,.443,0.4,0.6,.714,0.4,0.9,1.3,0.5,0.3,0.3,0.5,2.2,3.5
393,Sam Mitchell,37,MIN,SF,82,4,12.0,1.4,3.5,.408,0.1,0.5,.209,1.3,3.0,.443,.424,0.5,0.7,.727,0.3,1.2,1.5,0.7,0.3,0.1,0.4,1.4,3.5
394,Ryan Bowen,25,DEN,SF,57,0,12.2,1.4,2.5,.556,0.1,0.2,.364,1.3,2.3,.571,.569,0.5,0.8,.614,1.1,0.9,2.0,0.5,0.6,0.2,0.4,1.7,3.4
395,Jud Buechler,32,DET,SF,57,3,12.9,1.3,2.9,.463,0.6,1.4,.416,0.8,1.5,.506,.561,0.2,0.2,.750,0.4,1.3,1.6,0.7,0.4,0.2,0.4,1.5,3.4
396,Evan Eschmeyer,25,NJN,C,74,51,18.0,1.2,2.7,.460,0.0,0.0,,1.2,2.7,.460,.460,0.9,1.4,.657,1.8,3.1,4.9,0.5,0.6,0.8,0.7,3.0,3.4
397,Tyronn Lue,23,LAL,PG,38,1,12.3,1.3,3.1,.427,0.3,0.9,.324,1.0,2.2,.470,.474,0.5,0.6,.792,0.1,0.7,0.8,1.2,0.5,0.0,0.7,1.4,3.4
398,Loy Vaught,32,2TM,PF,51,1,10.8,1.6,3.3,.473,0.0,0.0,,1.6,3.3,.473,.473,0.2,0.2,.800,1.0,2.4,3.4,0.5,0.4,0.1,0.5,1.5,3.3
399,Loy Vaught,32,DAL,PF,37,1,10.6,1.5,3.3,.455,0.0,0.0,,1.5,3.3,.455,.455,0.1,0.2,.667,0.9,2.4,3.3,0.4,0.4,0.1,0.5,1.6,3.1
400,Loy Vaught,32,WAS,PF,14,0,11.2,1.8,3.4,.521,0.0,0.0,,1.8,3.4,.521,.521,0.3,0.3,1.000,1.1,2.4,3.6,0.5,0.4,0.1,0.6,0.9,3.9
401,Jonathan Bender,20,IND,SF,59,7,9.7,1.1,3.2,.355,0.2,0.7,.268,0.9,2.5,.379,.384,0.8,1.2,.735,0.2,1.0,1.3,0.5,0.1,0.5,0.7,1.2,3.3
402,Chris Herren,25,BOS,PG,25,7,16.3,1.2,3.8,.302,0.6,2.2,.291,0.5,1.6,.317,.385,0.4,0.5,.750,0.2,0.7,0.8,2.2,0.6,0.0,0.8,1.7,3.3
403,Steve Kerr,35,SAS,PG,55,1,11.8,1.2,2.9,.421,0.6,1.4,.429,0.6,1.5,.415,.525,0.3,0.3,.933,0.1,0.5,0.6,1.0,0.3,0.0,0.4,0.5,3.3
404,Jerome Kersey,38,MIL,SF,22,2,11.0,1.5,3.1,.464,0.0,0.0,.000,1.5,3.1,.471,.464,0.4,0.7,.500,0.4,1.7,2.0,0.7,0.6,0.4,0.3,1.6,3.3
405,Darrick Martin,29,SAC,PG,31,0,5.7,0.9,2.5,.382,0.5,0.9,.519,0.5,1.6,.306,.474,1.0,1.1,.886,0.1,0.5,0.5,0.5,0.2,0.0,0.3,0.9,3.3
406,Eduardo NÃ¡jera,24,DAL,PF,40,4,10.8,1.5,2.8,.523,0.0,0.1,.333,1.4,2.7,.528,.527,0.4,0.8,.424,1.0,1.4,2.4,0.7,0.3,0.2,0.4,1.2,3.3
407,Bill Curley,28,2TM,PF,20,2,9.6,1.3,2.4,.532,0.1,0.1,.500,1.2,2.3,.533,.543,0.6,1.0,.632,1.1,0.8,1.9,0.2,0.4,0.5,0.8,2.3,3.2
408,Bill Curley,28,DAL,PF,5,0,3.0,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.2,0.8,.250,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.8,0.6
409,Bill Curley,28,GSW,PF,15,2,11.8,1.6,2.9,.558,0.1,0.1,1.000,1.5,2.8,.548,.570,0.7,1.0,.733,1.4,1.1,2.5,0.2,0.4,0.5,0.9,2.7,4.0
410,Cal Bowdler,23,ATL,SF,44,0,8.5,1.2,2.6,.465,0.0,0.1,.200,1.2,2.5,.477,.469,0.8,0.9,.825,0.7,1.1,1.8,0.1,0.2,0.5,0.3,1.0,3.2
411,Ervin Johnson,33,MIL,C,82,19,24.2,1.3,2.4,.545,0.0,0.0,,1.3,2.4,.545,.545,0.6,1.1,.538,2.5,5.0,7.5,0.5,0.5,1.2,0.6,3.1,3.2
412,Don Reid,27,ORL,PF,65,7,11.8,1.3,2.2,.566,0.0,0.0,,1.3,2.2,.566,.566,0.7,1.2,.613,1.3,2.4,3.7,0.3,0.4,0.8,0.7,2.9,3.2
413,Kevin Ollie,28,2TM,PG,70,4,13.2,1.1,2.7,.396,0.0,0.0,.333,1.1,2.7,.397,.398,0.9,1.3,.708,0.2,1.1,1.4,2.1,0.4,0.0,0.7,1.2,3.1
414,Kevin Ollie,28,NJN,PG,19,0,8.5,0.3,1.4,.185,0.0,0.0,,0.3,1.4,.185,.185,0.6,1.0,.632,0.2,1.1,1.2,1.3,0.3,0.0,0.5,0.7,1.2
415,Kevin Ollie,28,PHI,PG,51,4,15.0,1.4,3.2,.430,0.0,0.1,.333,1.4,3.2,.432,.433,1.0,1.4,.729,0.3,1.2,1.4,2.4,0.5,0.0,0.8,1.4,3.8
416,Obinna Ekezie,25,2TM,PF,33,0,8.5,1.0,2.5,.395,0.0,0.0,,1.0,2.5,.395,.395,1.1,1.6,.698,0.9,1.4,2.4,0.3,0.2,0.2,0.4,1.5,3.1
417,Obinna Ekezie,25,WAS,PF,29,0,9.4,1.1,2.7,.416,0.0,0.0,,1.1,2.7,.416,.416,1.3,1.8,.698,1.1,1.6,2.6,0.3,0.2,0.2,0.5,1.6,3.5
418,Obinna Ekezie,25,DAL,PF,4,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
419,Jason Collier,23,HOU,C,23,0,9.7,1.2,3.1,.380,0.0,0.0,.000,1.2,3.0,.386,.380,0.7,1.0,.708,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.2,3.1
420,Devean George,23,LAL,SF,59,1,10.1,1.1,3.5,.309,0.3,1.2,.221,0.8,2.4,.353,.345,0.7,0.9,.709,0.6,1.3,1.9,0.3,0.3,0.3,0.6,1.5,3.1
421,Hersey Hawkins,34,CHH,SG,59,0,11.5,0.9,2.3,.409,0.3,0.8,.370,0.7,1.5,.429,.471,0.9,1.1,.857,0.3,1.1,1.4,1.2,0.6,0.2,0.3,0.8,3.1
422,Daniel Santiago,24,PHO,C,54,2,10.8,1.2,2.5,.478,0.0,0.0,,1.2,2.5,.478,.478,0.8,1.1,.689,0.6,1.2,1.9,0.2,0.3,0.4,0.9,1.9,3.1
423,Elliot Perry,31,2TM,PG,49,6,10.2,1.3,2.9,.464,0.0,0.1,.200,1.3,2.8,.474,.468,0.3,0.4,.727,0.2,0.8,0.9,1.6,0.4,0.0,0.8,0.6,3.0
424,Elliot Perry,31,ORL,PG,6,0,6.5,0.8,1.8,.455,0.0,0.2,.000,0.8,1.7,.500,.455,0.0,0.0,,0.2,0.5,0.7,0.8,0.5,0.0,1.0,0.2,1.7
