,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
39,Gerald Wallace,29,NJN,SF,16,16,573,17.2,.528,.257,.317,4.7,17.7,11.0,15.1,2.1,1.5,10.5,20.5,1.0,0.4,1.4,.113,1.2,0.1,1.3,0.5
40,Al Jefferson,27,UTA,C,61,61,2075,22.8,.520,.004,.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,.173,3.5,0.2,3.7,3.0
41,Paul Pierce,34,BOS,SF,61,61,2075,19.6,.567,.307,.387,2.2,15.2,9.0,24.3,1.8,1.0,14.2,28.1,3.3,3.7,7.0,.161,3.0,1.1,4.2,3.2
42,Dwight Howard,26,ORL,C,54,54,2070,24.2,.569,.010,.788,11.0,33.1,21.9,9.8,2.1,4.4,15.2,26.1,3.3,4.4,7.7,.179,2.2,2.0,4.3,3.3
43,Luis Scola,31,HOU,PF,66,66,2067,15.4,.526,.003,.223,6.8,17.3,12.0,12.0,0.9,0.9,13.6,24.8,1.8,1.6,3.4,.080,-1.0,-0.9,-1.9,0.0
44,Danny Granger,28,IND,SF,62,62,2062,18.6,.542,.343,.309,4.3,12.3,8.4,9.7,1.6,1.5,9.3,25.9,4.5,2.2,6.7,.155,3.5,-0.6,2.9,2.5
45,Tyson Chandler,29,NYK,C,62,62,2061,18.7,.708,.006,.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13.0,5.8,3.6,9.5,.220,1.2,1.1,2.3,2.2
46,Jared Dudley,26,PHO,SG,65,60,2020,15.4,.575,.325,.255,5.4,11.4,8.4,8.8,1.3,0.7,9.1,17.7,4.0,1.1,5.1,.121,1.6,-0.4,1.2,1.7
47,Gordon Hayward,21,UTA,SF,66,58,2015,15.5,.568,.271,.396,3.3,9.9,6.6,15.9,1.4,1.6,13.7,17.8,3.8,1.0,4.9,.116,1.7,-0.1,1.5,1.8
48,Chris Bosh,27,MIA,PF,57,57,2007,18.9,.551,.043,.346,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,3.6,3.3,6.9,.165,1.0,-0.2,0.8,1.4
49,Jason Terry,34,DAL,SG,63,1,2000,15.7,.540,.440,.134,0.9,7.4,4.2,19.9,1.9,0.4,12.6,23.3,2.0,1.8,3.8,.092,1.7,-0.3,1.4,1.7
50,Deron Williams,27,NJN,PG,55,55,1999,20.3,.527,.356,.317,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,3.7,0.4,4.1,.099,4.2,-1.9,2.3,2.2
51,LaMarcus Aldridge,26,POR,PF,55,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,.169,3.4,-0.4,3.0,2.5
52,Marco Belinelli,25,NOH,SG,66,55,1966,11.9,.525,.414,.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,1.9,1.0,2.9,.071,-0.4,-0.8,-1.2,0.4
53,Ryan Anderson,23,ORL,PF,61,61,1964,21.2,.589,.557,.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,7.0,1.9,8.9,.219,5.2,-1.1,4.0,3.0
54,Steve Nash,37,PHO,PG,62,62,1961,20.3,.625,.254,.256,1.5,9.1,5.3,53.1,1.0,0.3,27.1,19.6,5.2,0.6,5.9,.144,4.7,-1.2,3.4,2.7
55,Paul George,21,IND,SG,66,66,1958,16.5,.555,.366,.285,3.2,17.9,10.6,13.6,2.9,1.5,14.0,19.3,2.8,3.2,6.0,.148,1.4,2.1,3.4,2.7
56,Rajon Rondo,25,BOS,PG,53,53,1957,17.5,.483,.073,.316,3.9,11.2,7.7,52.5,2.6,0.1,22.8,20.7,1.5,3.4,4.9,.121,1.5,0.6,2.2,2.1
57,DeMarcus Cousins,21,SAC,C,64,62,1950,21.7,.499,.014,.373,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,2.1,2.2,4.2,.104,0.4,-1.3,-0.8,0.6
58,Carlos Boozer,30,CHI,PF,66,66,1948,19.7,.549,.001,.163,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,3.3,4.3,7.6,.187,1.1,1.6,2.7,2.3
59,James Harden,22,OKC,SG,62,2,1946,21.1,.660,.464,.587,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,7.5,1.8,9.3,.230,4.1,0.2,4.3,3.1
60,Joakim Noah,26,CHI,C,64,64,1945,19.6,.561,.002,.420,14.1,21.8,18.0,12.7,1.1,3.4,13.7,15.8,4.9,4.2,9.0,.223,1.7,2.1,3.8,2.8
61,Roy Hibbert,25,IND,C,65,65,1937,19.3,.539,.001,.358,12.5,20.7,16.6,9.9,0.9,5.2,14.2,21.1,3.2,3.0,6.2,.154,1.0,0.4,1.4,1.7
62,David West,31,IND,PF,66,66,1925,17.8,.531,.013,.246,6.9,18.3,12.6,13.1,1.4,1.9,10.5,20.9,3.4,2.5,5.9,.147,1.4,0.4,1.8,1.8
63,Tony Parker,29,SAS,PG,60,60,1923,22.0,.539,.069,.319,1.3,8.7,5.1,40.3,1.5,0.2,13.1,27.7,5.5,1.6,7.1,.177,3.6,-0.9,2.7,2.3
64,Shawn Marion,33,DAL,SF,63,63,1919,15.0,.488,.105,.144,8.6,18.6,13.6,11.5,1.8,1.5,12.5,19.0,1.0,2.7,3.7,.092,-0.2,0.6,0.5,1.2
65,Raymond Felton,27,POR,PG,60,56,1906,13.4,.491,.316,.193,1.6,7.6,4.6,33.3,2.2,0.4,19.6,20.8,0.7,1.0,1.7,.042,-0.3,-1.2,-1.5,0.2
66,Landry Fields,23,NYK,SG,66,62,1894,12.0,.506,.236,.267,3.6,13.5,8.5,14.5,2.1,0.7,15.1,16.0,0.8,2.6,3.4,.085,-1.1,1.1,0.0,1.0
67,Darren Collison,24,IND,PG,60,56,1878,13.6,.526,.180,.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17.0,2.3,1.5,3.8,.098,0.3,-0.5,-0.2,0.9
68,Carmelo Anthony,27,NYK,SF,55,55,1876,21.1,.525,.198,.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,3.7,2.6,6.2,.160,3.8,-0.2,3.6,2.7
69,Caron Butler,31,LAC,SF,63,63,1871,11.7,.501,.365,.152,2.8,12.0,7.3,6.8,1.5,0.4,9.3,20.4,1.2,1.1,2.3,.059,-0.8,-1.2,-2.0,0.0
70,Brandon Bass,26,BOS,PF,59,39,1868,14.1,.524,.000,.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,1.5,3.2,4.7,.122,-1.3,0.3,-1.0,0.5
71,Kevin Garnett,35,BOS,C,60,60,1864,20.4,.550,.012,.243,4.4,25.8,15.6,17.9,1.6,2.5,11.1,24.9,2.6,4.3,6.9,.178,1.8,2.5,4.3,2.9
72,Gerald Henderson,24,CHA,SG,55,55,1831,14.0,.511,.065,.282,3.9,10.5,7.0,13.5,1.4,0.8,11.0,23.0,0.8,0.2,1.0,.026,-1.0,-1.7,-2.7,-0.3
73,Alonzo Gee,24,CLE,SG,63,31,1827,13.2,.516,.249,.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,1.2,1.2,2.4,.063,-1.2,-0.2,-1.4,0.3
74,Mario Chalmers,25,MIA,PG,64,64,1825,12.9,.578,.522,.203,1.1,9.8,5.6,19.0,2.8,0.5,20.7,17.4,1.5,2.8,4.3,.112,-0.8,1.2,0.4,1.1
75,Andre Miller,35,DEN,SG,66,7,1809,14.8,.510,.150,.306,3.5,10.5,7.1,36.5,1.8,0.4,22.0,19.8,1.9,1.0,2.9,.078,0.5,-0.9,-0.3,0.7
76,Chandler Parsons,23,HOU,SF,63,57,1804,13.3,.513,.324,.142,5.7,13.6,9.6,11.7,2.1,1.2,12.2,16.7,1.6,1.8,3.4,.090,0.1,0.7,0.8,1.3
77,JosÃ© CalderÃ³n,30,TOR,PG,53,53,1799,16.7,.547,.333,.143,1.3,9.1,5.2,44.2,1.4,0.1,17.0,16.0,3.9,1.2,5.1,.136,2.4,-0.7,1.7,1.7
78,DeAndre Jordan,23,LAC,C,66,66,1798,16.4,.626,.003,.433,13.2,23.0,18.1,1.5,0.9,6.2,16.0,11.9,3.2,2.4,5.6,.150,-0.4,0.4,0.1,0.9
79,Serge Ibaka,22,OKC,PF,66,66,1792,19.0,.556,.006,.241,13.2,18.2,15.9,2.5,1.0,9.8,12.7,15.7,3.0,3.2,6.2,.167,0.1,2.3,2.3,1.9
80,Kemba Walker,21,CHA,PG,66,25,1792,14.9,.464,.295,.278,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,-0.2,0.5,0.3,.009,0.7,-1.4,-0.8,0.6
81,Nicolas Batum,23,POR,SF,59,34,1791,17.3,.575,.427,.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,3.3,1.4,4.8,.127,2.6,0.0,2.5,2.0
82,Marcus Thornton,24,SAC,SG,51,51,1780,17.4,.544,.386,.203,4.9,6.7,5.8,9.4,2.0,0.5,8.8,23.4,3.7,0.1,3.8,.103,2.4,-1.4,1.1,1.4
83,O.J. Mayo,24,MEM,SG,66,0,1771,14.7,.513,.374,.234,1.9,12.1,6.9,16.1,2.1,1.1,13.3,23.9,1.3,2.2,3.5,.094,0.5,0.4,0.8,1.3
84,JJ Redick,27,ORL,SG,65,22,1765,15.1,.575,.459,.269,1.2,8.8,4.9,16.2,0.8,0.3,9.4,19.2,4.2,1.0,5.2,.142,1.6,-0.6,1.0,1.3
85,Al Harrington,31,DEN,PF,64,1,1761,15.3,.535,.392,.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,.088,0.5,-0.8,-0.4,0.7
86,Courtney Lee,26,HOU,SG,58,26,1757,12.6,.534,.374,.148,1.7,8.9,5.2,7.9,2.0,0.9,9.4,17.6,1.8,1.4,3.2,.087,-0.4,0.3,0.0,0.9
87,Thaddeus Young,23,PHI,PF,63,1,1755,18.9,.538,.006,.210,8.6,12.0,10.3,7.3,2.0,1.8,6.8,21.5,3.4,2.9,6.3,.171,1.4,0.6,2.0,1.8
88,Jordan Crawford,23,WAS,SG,64,32,1753,14.5,.488,.313,.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,0.3,0.7,1.1,.029,0.4,-2.1,-1.7,0.1
89,Goran DragiÄ,25,HOU,PG,66,28,1752,18.0,.567,.337,.317,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,3.6,1.5,5.1,.139,1.9,0.0,1.9,1.7
90,Luke Ridnour,30,MIN,SG,53,53,1750,13.6,.530,.276,.216,1.2,7.8,4.5,24.0,1.6,0.7,13.7,17.8,2.4,0.9,3.3,.090,-0.6,0.2,-0.5,0.7
91,Richard Jefferson,31,2TM,SF,63,44,1748,11.1,.550,.551,.174,1.7,12.4,7.2,7.3,1.1,0.8,8.7,15.1,1.9,1.2,3.1,.085,-0.2,-0.3,-0.5,0.6
92,Richard Jefferson,31,SAS,SF,41,41,1168,10.9,.556,.596,.157,1.8,12.0,7.0,6.7,1.1,0.7,8.6,14.6,1.4,1.0,2.4,.100,0.0,0.2,0.2,0.6
93,Richard Jefferson,31,GSW,SF,22,3,580,11.6,.540,.467,.207,1.6,13.3,7.4,8.6,1.1,0.9,8.9,16.1,0.6,0.1,0.7,.056,-0.6,-1.5,-2.0,0.0
94,Kendrick Perkins,27,OKC,C,65,65,1744,8.7,.528,.000,.427,8.4,18.8,13.9,6.4,0.7,3.0,27.5,11.1,0.0,2.1,2.0,.056,-3.0,0.9,-2.1,0.0
95,Devin Harris,28,UTA,PG,63,63,1741,16.0,.564,.393,.386,0.8,6.7,3.7,28.3,1.9,0.6,16.1,19.5,3.3,0.8,4.2,.115,1.6,-0.8,0.8,1.2
96,Elton Brand,32,PHI,C,60,60,1732,18.0,.521,.002,.200,9.2,18.3,13.7,9.2,1.8,4.2,9.3,18.9,2.5,3.6,6.1,.168,-0.2,1.8,1.6,1.6
97,Nick Young,26,2TM,SG,62,35,1729,12.9,.512,.360,.216,2.0,6.8,4.4,5.7,1.3,0.8,8.8,24.5,1.4,0.6,1.9,.053,-0.3,-2.1,-2.4,-0.2
98,Nick Young,26,WAS,SG,40,32,1211,14.2,.513,.333,.220,1.8,7.2,4.5,6.8,1.3,0.7,8.3,26.1,1.1,0.4,1.5,.059,0.6,-2.3,-1.7,0.1
99,Nick Young,26,LAC,SG,22,3,518,9.9,.509,.440,.202,2.5,5.8,4.1,3.1,1.5,1.0,10.2,20.9,0.2,0.2,0.4,.040,-2.3,-1.8,-4.1,-0.3
100,Metta World Peace,32,LAL,SF,64,45,1720,11.0,.478,.406,.247,4.8,9.1,7.1,12.5,2.1,1.1,11.8,15.6,0.9,1.7,2.6,.073,-1.6,1.0,-0.7,0.6
101,Brandon Rush,26,GSW,SF,65,1,1717,15.2,.628,.467,.175,2.2,14.4,8.3,7.9,1.1,2.6,11.9,15.4,2.9,0.6,3.5,.099,2.1,-0.4,1.7,1.6
102,Evan Turner,23,PHI,SF,65,20,1713,12.6,.478,.083,.183,1.7,22.8,12.2,16.9,1.2,0.9,14.1,20.3,-0.6,3.0,2.4,.068,-2.2,1.0,-1.3,0.3
103,Ramon Sessions,25,2TM,PG,64,23,1707,16.7,.535,.172,.439,2.2,12.0,7.1,35.5,1.4,0.1,17.3,21.6,2.9,0.8,3.7,.104,1.0,-1.4,-0.4,0.7
104,Ramon Sessions,25,CLE,PG,41,4,1006,16.4,.514,.175,.415,2.1,12.7,7.2,37.1,1.4,0.1,16.4,22.4,1.5,0.3,1.8,.085,1.0,-1.6,-0.6,0.4
105,Ramon Sessions,25,LAL,PG,23,19,701,17.3,.570,.166,.479,2.3,11.1,6.9,33.1,1.3,0.2,18.8,20.5,1.4,0.5,1.9,.131,1.0,-1.1,-0.1,0.3
106,Greivis VÃ¡squez,25,NOH,PG,66,26,1706,14.2,.513,.258,.224,1.6,10.3,6.0,35.7,1.9,0.4,20.5,20.0,1.0,1.3,2.3,.064,-0.2,-0.9,-1.1,0.4
107,Jameer Nelson,29,ORL,PG,57,57,1706,14.6,.524,.381,.145,1.9,10.4,6.1,34.0,1.2,0.2,17.3,21.4,2.3,1.2,3.5,.099,0.8,-0.9,-0.1,0.8
108,Iman Shumpert,21,NYK,PG,59,35,1705,10.8,.484,.294,.204,2.8,9.9,6.3,15.6,3.1,0.4,16.0,18.2,-0.1,2.5,2.4,.068,-3.0,1.6,-1.4,0.2
109,Randy Foye,28,LAC,SG,65,48,1682,13.5,.522,.511,.132,1.7,8.1,4.9,14.2,1.5,1.2,9.7,20.7,2.4,0.8,3.2,.092,1.1,-0.9,0.2,0.9
110,Lou Williams,25,PHI,PG,64,0,1682,20.2,.525,.293,.373,2.0,8.3,5.1,22.4,1.7,0.8,7.2,27.4,3.9,2.2,6.1,.174,3.7,0.2,4.0,2.5
111,Channing Frye,28,PHO,PF,64,59,1669,14.9,.519,.429,.134,4.8,20.6,12.8,8.3,1.3,3.0,8.8,19.3,1.8,1.9,3.7,.106,0.2,0.7,0.9,1.2
112,Jason Thompson,25,SAC,PF,64,47,1657,16.4,.558,.005,.409,10.5,19.3,14.7,7.5,1.3,1.9,11.5,15.5,3.1,0.8,3.9,.114,0.2,-1.1,-0.9,0.5
113,Isaiah Thomas,22,SAC,PG,65,37,1656,17.6,.574,.384,.324,3.0,8.4,5.6,25.6,1.6,0.4,13.9,19.8,4.2,0.0,4.3,.124,2.4,-1.6,0.8,1.2
114,Ersan Ä°lyasova,24,MIL,PF,60,41,1655,20.5,.577,.188,.307,12.7,22.8,17.6,7.0,1.3,2.0,10.1,20.1,4.4,2.0,6.4,.185,3.1,-1.1,1.9,1.6
115,Hedo TÃ¼rkoÄlu,32,ORL,SF,53,53,1653,11.7,.528,.512,.188,1.7,12.4,7.0,24.1,1.5,0.8,20.6,19.5,0.6,1.5,2.1,.060,-1.0,0.1,-0.9,0.5
116,Dorell Wright,26,GSW,SF,61,61,1650,15.0,.553,.555,.186,4.1,14.9,9.6,8.8,1.8,1.2,8.2,17.3,2.6,0.8,3.4,.099,1.6,-0.7,0.9,1.2
117,MarShon Brooks,23,NJN,SG,56,47,1648,12.9,.502,.234,.231,4.8,9.4,7.0,14.6,1.7,0.7,14.3,22.9,0.5,0.3,0.8,.022,-0.7,-1.7,-2.4,-0.2
118,Jodie Meeks,24,PHI,SG,66,50,1644,11.5,.551,.570,.182,1.1,9.8,5.4,5.0,1.3,0.1,5.4,15.2,2.1,2.0,4.1,.120,-0.8,0.1,-0.7,0.5
119,Rodney Stuckey,25,DET,SG,55,48,1644,17.6,.550,.174,.536,2.7,7.8,5.2,22.7,1.4,0.5,12.6,23.7,3.8,0.7,4.5,.131,1.7,-1.0,0.6,1.1
120,Zaza Pachulia,27,ATL,C,58,44,1640,14.0,.557,.000,.466,11.1,21.5,16.4,7.4,1.8,1.4,16.5,14.0,2.3,2.8,5.0,.147,-1.5,0.8,-0.7,0.5
121,Anthony Morrow,26,NJN,SG,62,18,1636,13.1,.531,.435,.158,2.1,7.0,4.5,6.8,1.5,0.4,9.0,21.6,1.7,0.0,1.7,.051,0.1,-2.0,-1.9,0.0
122,Ronnie Brewer,26,CHI,SG,66,43,1635,12.3,.465,.155,.225,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,1.0,2.9,3.9,.113,-1.5,2.2,0.7,1.1
123,Tim Duncan,35,SAS,C,58,58,1634,22.5,.531,.005,.340,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,3.0,2.9,5.9,.174,2.0,1.3,3.3,2.2
124,Dwyane Wade,30,MIA,SG,49,49,1625,26.3,.559,.067,.355,5.6,11.6,8.7,27.3,2.7,3.1,11.8,31.3,4.8,2.9,7.7,.227,6.0,1.9,7.9,4.0
125,Jamal Crawford,31,POR,PG,60,6,1613,15.7,.506,.353,.280,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,1.6,0.7,2.3,.069,1.0,-1.2,-0.2,0.7
126,Klay Thompson,21,GSW,SG,66,29,1608,14.9,.545,.373,.127,1.7,9.6,5.7,14.2,1.6,1.0,12.0,24.7,1.4,0.3,1.7,.050,0.3,-1.7,-1.4,0.2
127,Jason Richardson,31,ORL,SG,54,54,1591,13.3,.502,.465,.116,2.6,11.6,7.0,12.0,1.8,1.1,8.7,20.2,1.2,1.6,2.8,.084,0.3,0.4,0.7,1.1
128,Udonis Haslem,31,MIA,PF,64,10,1589,10.9,.479,.000,.286,9.1,25.6,17.7,4.0,1.2,1.2,13.0,13.5,0.7,2.8,3.5,.106,-2.2,-0.2,-2.4,-0.2
129,Ray Allen,36,BOS,SG,46,42,1565,14.8,.607,.475,.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,.145,1.5,0.7,2.2,1.6
130,James Johnson,24,TOR,SF,62,40,1561,14.5,.498,.116,.222,5.6,16.2,11.0,13.9,2.4,4.4,15.1,20.2,0.1,2.5,2.6,.079,-0.9,2.3,1.5,1.3
131,Kyrie Irving,19,CLE,PG,51,51,1558,21.4,.566,.245,.262,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,3.4,0.6,4.1,.125,4.6,-0.5,4.1,2.4
132,Amir Johnson,24,TOR,PF,64,43,1553,14.4,.600,.015,.247,11.4,19.4,15.4,8.7,1.1,3.6,20.0,14.3,1.9,2.0,4.0,.122,-1.4,0.9,-0.5,0.6
