,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
257,Del Beshore,23,CHI,PG,68,,869,6.4,.423,.104,.348,2.1,5.9,4.1,21.5,3.1,0.3,26.5,18.4,-1.7,0.8,-0.9,-0.052,-5.0,-0.1,-5.1,-0.7
258,Phil Chenier,29,2TM,SG,43,0,850,9.5,.431,.034,.192,2.2,7.2,4.7,14.0,1.8,0.9,12.7,20.0,-0.6,0.6,0.0,.002,-3.1,-0.5,-3.6,-0.3
259,Phil Chenier,29,WSB,SG,20,,470,10.1,.435,.028,.192,2.1,7.1,4.6,12.4,1.8,0.6,11.1,21.9,-0.3,0.4,0.0,.004,-3.2,-0.4,-3.6,-0.2
260,Phil Chenier,29,IND,SG,23,0,380,8.9,.423,.044,.193,2.4,7.3,4.8,15.9,1.8,1.4,15.1,17.6,-0.3,0.2,0.0,.000,-3.0,-0.6,-3.6,-0.2
261,Wally Walker,25,SEA,SF,70,,844,12.3,.539,.000,.234,7.9,13.3,10.6,8.6,1.2,0.3,14.2,16.5,1.0,1.1,2.0,.116,-1.3,-0.1,-1.4,0.1
262,Dave Corzine,23,WSB,C,78,,826,10.3,.457,.000,.315,12.5,20.4,16.4,9.7,0.5,2.0,19.6,14.6,-0.1,0.9,0.9,.050,-3.1,0.2,-3.0,-0.2
263,Robert Smith,24,2TM,PG,65,,809,10.8,.523,.097,.342,2.6,7.6,5.1,15.7,1.5,0.3,14.6,17.4,0.7,0.7,1.4,.080,-2.3,-0.3,-2.6,-0.1
264,Robert Smith,24,UTA,PG,6,,73,9.6,.436,.000,.333,5.0,0.0,2.4,12.2,2.7,0.0,5.5,10.7,0.1,0.0,0.1,.050,-2.7,0.0,-2.7,0.0
265,Robert Smith,24,NJN,PG,59,,736,10.9,.529,.102,.343,2.4,8.3,5.4,16.1,1.4,0.3,15.1,18.1,0.6,0.7,1.3,.083,-2.3,-0.3,-2.6,-0.1
266,Mike Glenn,24,NYK,SG,75,,800,16.6,.557,.027,.201,2.8,6.2,4.5,14.6,2.0,0.5,8.8,20.9,1.8,0.3,2.1,.126,1.0,-0.5,0.5,0.5
267,Paul Dawkins,22,UTA,SF,57,,776,11.0,.492,.017,.160,6.6,12.0,9.4,14.8,2.1,0.7,19.1,22.0,-0.5,0.4,-0.1,-0.009,-2.9,-1.3,-4.2,-0.4
268,Mack Calvin,32,UTA,PG,48,,772,14.5,.549,.048,.515,2.0,10.4,6.4,24.0,1.7,0.0,17.0,18.7,1.2,0.2,1.4,.085,-0.4,-1.3,-1.7,0.1
269,James Bailey,22,SEA,PF,67,,726,12.3,.495,.000,.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,-0.4,1.4,1.0,.063,-4.2,0.9,-3.3,-0.2
270,Bob Elliott,24,NJN,PF,54,,722,11.6,.521,.018,.667,9.6,16.9,13.3,10.0,1.8,1.1,23.0,20.5,-0.3,1.0,0.8,.050,-2.7,-0.2,-2.9,-0.2
271,Joel Kramer,24,PHO,C,54,,711,10.0,.547,.007,.490,7.7,15.4,11.7,13.0,1.7,0.4,22.7,12.6,0.5,0.9,1.4,.095,-2.2,0.8,-1.4,0.1
272,Darnell Hillman,30,GSW,PF,49,,708,8.7,.474,.000,.380,8.9,19.5,14.0,8.6,1.4,2.0,22.0,15.6,-0.5,0.8,0.3,.018,-4.5,0.3,-4.2,-0.4
273,Ollie Mack,22,2TM,SG,50,,681,10.9,.528,.025,.256,5.5,6.1,5.8,10.4,1.7,0.2,13.6,15.3,0.6,0.4,1.0,.067,-1.2,-0.5,-1.6,0.1
274,Ollie Mack,22,LAL,SG,27,,155,9.1,.440,.020,.360,5.4,9.7,7.7,15.3,1.2,0.0,13.4,17.3,0.0,0.1,0.1,.035,-3.2,-0.7,-3.9,-0.1
275,Ollie Mack,22,CHI,SG,23,,526,11.4,.560,.027,.221,5.5,5.0,5.2,9.0,1.8,0.3,13.7,14.7,0.6,0.3,0.8,.077,-0.6,-0.4,-1.0,0.1
276,Jeff Judkins,23,BOS,SF,65,0,674,14.1,.567,.098,.275,5.4,5.5,5.4,9.9,2.0,0.4,13.7,21.1,1.1,0.8,1.8,.131,-0.2,0.3,0.0,0.3
277,Earl Monroe,35,NYK,SG,51,,633,15.3,.497,.000,.182,2.7,3.5,3.1,15.0,1.5,0.3,6.9,24.8,1.0,0.1,1.1,.081,0.2,-2.0,-1.8,0.0
278,Wiley Peck,22,SAS,SF,52,,628,8.9,.466,.012,.325,11.5,19.6,15.6,6.1,1.2,1.9,19.9,14.5,-0.2,0.5,0.3,.023,-3.4,-0.9,-4.2,-0.4
279,Stan Pietkiewicz,23,SDC,PG,50,,577,14.3,.572,.201,.257,4.7,3.7,4.2,22.2,2.1,0.4,20.4,17.3,0.8,0.1,1.0,.080,0.5,-1.1,-0.6,0.2
280,Dennis Awtrey,31,CHI,C,26,,560,7.4,.524,.000,.833,6.0,16.9,11.5,9.0,1.0,1.5,24.8,7.9,0.1,0.5,0.6,.053,-2.3,0.9,-1.4,0.1
281,Sly Williams,22,NYK,SF,57,,556,10.7,.434,.015,.337,12.6,11.1,11.9,8.4,1.5,0.8,13.8,24.6,-0.4,0.3,-0.1,-0.006,-3.1,-2.8,-5.9,-0.5
282,Jerome Whitehead,23,2TM,C,50,,553,8.4,.487,.000,.307,11.4,22.6,17.1,5.7,0.7,1.7,21.8,12.5,-0.2,0.4,0.2,.017,-3.9,-0.8,-4.8,-0.4
283,Jerome Whitehead,23,SDC,C,18,,225,11.6,.557,.000,.400,13.5,20.4,16.8,3.5,0.2,1.4,13.1,10.8,0.3,0.1,0.4,.087,-1.6,-1.3,-2.9,-0.1
284,Jerome Whitehead,23,UTA,C,32,,328,6.2,.438,.000,.246,10.0,24.0,17.3,7.2,1.0,1.9,26.8,13.7,-0.5,0.3,-0.2,-0.031,-5.5,-0.5,-6.0,-0.4
285,Don Chaney,33,BOS,SG,60,0,523,7.8,.402,.032,.222,6.7,8.8,7.8,9.3,2.8,1.2,13.7,18.3,-0.4,0.8,0.4,.033,-4.3,1.2,-3.1,-0.1
286,Bo Ellis,25,DEN,PF,48,,502,12.1,.508,.022,.390,10.3,13.8,12.0,8.0,0.9,2.6,13.1,14.3,0.5,0.4,0.9,.085,-1.6,-0.3,-1.9,0.0
287,Sam Smith,25,CHI,SF,30,,496,14.2,.502,.152,.274,5.1,7.1,6.1,13.0,2.4,0.8,11.4,23.9,0.4,0.4,0.8,.079,-0.5,-0.4,-0.9,0.1
288,Anthony Roberts,24,DEN,SF,23,,486,9.3,.427,.006,.331,11.3,12.1,11.7,5.6,1.2,0.3,11.9,19.0,-0.2,0.2,0.1,.009,-3.2,-2.4,-5.6,-0.4
289,Mike Green,28,KCK,C,21,,459,10.6,.456,.013,.264,7.9,18.9,13.2,8.1,1.3,2.7,16.9,18.6,-0.4,0.8,0.4,.044,-3.3,0.8,-2.5,-0.1
290,Mitch Kupchak,25,WSB,PF,40,,451,9.7,.482,.013,.469,7.0,16.4,11.7,4.7,0.8,0.9,17.2,20.4,-0.3,0.4,0.2,.018,-3.8,-1.1,-4.9,-0.3
291,Larry Steele,30,POR,SF,16,,446,10.8,.462,.027,.185,3.2,8.0,5.5,20.8,2.7,0.1,17.3,17.6,0.0,0.5,0.5,.052,-3.0,0.7,-2.3,0.0
292,Steve Malovic,23,3TM,PF,39,,445,7.2,.507,.000,.403,8.4,12.3,10.3,6.9,0.8,0.7,22.6,9.0,0.1,0.1,0.3,.027,-2.7,-0.7,-3.4,-0.2
293,Steve Malovic,23,WSB,PF,1,,6,6.2,.284,,,0.0,0.0,0.0,0.0,7.8,0.0,0.0,11.6,0.0,0.0,0.0,-0.040,-4.5,0.1,-4.4,0.0
294,Steve Malovic,23,SDC,PF,28,,277,7.9,.577,.000,.214,10.2,12.5,11.3,5.4,0.9,0.2,23.3,8.6,0.2,0.1,0.3,.049,-2.5,-0.9,-3.4,-0.1
295,Steve Malovic,23,DET,PF,10,,162,5.9,.417,.000,.560,5.8,12.4,9.1,9.9,0.6,1.6,22.4,9.5,-0.1,0.0,0.0,-0.006,-3.0,-0.4,-3.4,-0.1
296,Jim Spanarkel,22,PHI,SG,40,0,442,10.7,.545,.013,.425,6.9,6.1,6.5,15.9,1.3,0.7,23.9,21.6,0.0,0.5,0.4,.048,-2.6,-1.0,-3.6,-0.2
297,Eric Fernsten,26,BOS,PF,56,0,431,14.4,.497,.000,.340,10.5,14.3,12.4,8.7,1.8,1.6,10.2,18.1,0.5,0.6,1.2,.133,0.2,0.6,0.8,0.3
298,Bernard King,23,UTA,SF,19,,419,11.4,.534,.000,.460,7.0,17.2,12.3,18.1,0.8,0.5,23.3,22.0,-0.2,0.1,0.0,-0.002,-2.6,-1.6,-4.2,-0.2
299,John Mengelt,30,CHI,SG,36,,387,13.4,.584,.036,.295,0.9,5.7,3.3,16.0,1.2,0.0,16.1,23.5,0.4,0.1,0.6,.070,-1.6,-1.5,-3.1,-0.1
300,John Brown,28,2TM,SF,32,,385,5.1,.444,.000,.457,7.4,12.7,10.0,6.3,0.4,0.6,18.7,16.5,-0.3,0.4,0.1,.012,-5.0,-0.9,-5.9,-0.5
301,John Brown,28,UTA,SF,4,,24,-0.5,.228,.000,.571,25.4,18.8,21.9,19.5,0.0,0.0,36.3,24.6,-0.1,0.0,-0.1,-0.273,-5.0,-0.8,-5.7,-0.1
302,John Brown,28,ATL,SF,28,,361,5.4,.460,.000,.449,6.2,12.3,9.2,5.4,0.4,0.7,17.0,16.0,-0.1,0.4,0.2,.031,-5.0,-0.9,-5.9,-0.4
303,Earl Evans,24,DET,PF,36,,381,10.3,.495,.129,.300,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,-0.1,0.2,0.1,.015,-2.8,-1.2,-4.0,-0.2
304,Sam Pellom,28,ATL,PF,44,,373,9.4,.450,.000,.278,8.0,18.5,13.2,6.8,1.6,1.9,12.9,15.2,0.0,0.6,0.7,.084,-3.5,1.0,-2.6,0.0
305,Bill Walton,27,SDC,C,14,,337,22.2,.525,.000,.335,8.7,32.5,20.2,15.5,1.1,6.1,16.7,26.3,0.2,0.5,0.8,.108,0.9,2.1,3.0,0.5
306,Vinnie Johnson,23,SEA,SG,38,,325,10.9,.458,.009,.339,6.1,11.7,8.9,21.9,2.8,0.7,24.1,21.1,-0.3,0.5,0.2,.031,-3.1,0.9,-2.2,0.0
307,Kevin Kunnert,28,POR,C,18,,302,13.5,.474,.000,.377,13.3,27.7,20.4,13.8,1.1,4.2,23.6,23.6,-0.3,0.5,0.2,.032,-3.9,1.1,-2.8,-0.1
308,Marlon Redmond,24,KCK,SG,24,,298,12.0,.464,.065,.246,6.2,12.7,9.3,9.0,0.6,1.8,11.0,23.0,-0.1,0.4,0.3,.051,-1.9,-0.8,-2.7,0.0
309,Marvin Webster,27,NYK,C,20,,298,9.2,.511,.000,.203,10.1,19.2,14.6,3.6,0.5,2.0,18.9,13.7,0.0,0.2,0.2,.039,-2.8,-1.3,-4.1,-0.2
310,Marvin Barnes,27,SDC,PF,20,,287,8.2,.432,.000,.533,12.4,16.8,14.5,7.8,0.8,2.3,19.5,12.8,-0.1,0.2,0.1,.019,-3.8,-0.5,-4.3,-0.2
311,John Gianelli,29,UTA,C,17,,285,5.1,.377,.000,.242,6.0,19.0,12.7,7.7,1.0,1.4,23.1,14.3,-0.6,0.1,-0.4,-0.071,-4.4,-1.1,-5.5,-0.3
